34782052,2015 05 16 00 00 21,2015 05 16 00 04 03,38307572
35777141,2015 05 16 00 01 52,2015 05 16 00 06 04,35121423
83957076,2015 05 16 00 02 01,2015 05 16 00 06 59,94014102
99416782,2015 05 16 00 02 19,2015 05 16 00 07 09,96401932
35768154,2015 05 16 00 06 20,2015 05 16 00 15 28,87691242
88546636,2015 05 16 00 07 10,2015 05 16 00 15 51,33845861
83621879,2015 05 16 00 09 53,2015 05 16 00 14 22,89681534
94450227,2015 05 16 00 11 32,2015 05 16 00 17 43,85463700
38883317,2015 05 16 00 12 03,2015 05 16 00 16 48,99508281
84281875,2015 05 16 00 15 24,2015 05 16 00 17 27,38065919
37778586,2015 05 16 00 15 29,2015 05 16 00 20 29,31531808
89277256,2015 05 16 00 17 19,2015 05 16 00 19 11,81381225
94332899,2015 05 16 00 18 05,2015 05 16 00 24 13,91984061
93895118,2015 05 16 00 19 13,2015 05 16 00 19 40,96275382
31426193,2015 05 16 00 19 24,2015 05 16 00 21 58,96651909
37930234,2015 05 16 00 20 20,2015 05 16 00 28 15,35669015
38426250,2015 05 16 00 20 29,2015 05 16 00 28 53,35246122
35106040,2015 05 16 00 23 17,2015 05 16 00 24 02,32743587
85362318,2015 05 16 00 24 58,2015 05 16 00 33 39,86920141
87893157,2015 05 16 00 26 34,2015 05 16 00 30 08,85308063
87138911,2015 05 16 00 28 54,2015 05 16 00 41 45,35297681
89443120,2015 05 16 00 33 06,2015 05 16 00 37 39,81089091
92475570,2015 05 16 00 34 21,2015 05 16 00 35 36,83364541
84867233,2015 05 16 00 36 40,2015 05 16 00 37 11,84041309
34770127,2015 05 16 00 37 51,2015 05 16 00 45 40,35619312
88667122,2015 05 16 00 39 43,2015 05 16 00 47 12,81392644
36535585,2015 05 16 00 42 58,2015 05 16 00 44 59,98105713
97549855,2015 05 16 00 43 42,2015 05 16 00 53 56,31524983
95779103,2015 05 16 00 44 58,2015 05 16 00 47 20,85242651
34855572,2015 05 16 00 46 19,2015 05 16 00 53 27,36256900
98881708,2015 05 16 00 47 11,2015 05 16 01 01 54,97141002
91551734,2015 05 16 00 51 07,2015 05 16 00 53 34,85191192
88308917,2015 05 16 00 52 05,2015 05 16 01 07 33,88450758
81967151,2015 05 16 00 56 27,2015 05 16 01 03 37,89147522
88190061,2015 05 16 00 57 26,2015 05 16 00 58 06,35653029
