98633234,043
96245015,476
93317942,057
99076334,068
94820315,159
96782263,498
91834811,204
98862925,384
91112529,101
97328208,285
91992458,428
97479015,244
93432728,481
91188514,336
93541860,175
92683392,164
91610013,399
96825097,053
92640242,237
99891096,500
94379737,145
92856119,159
96851081,381
97173415,306
94383499,133
93055995,247
93707512,084
93259959,155
96070357,243
97909353,433
98369001,189
92684059,410
98123585,057
91515352,473
96965579,024
95336461,349
99544030,342
92238814,200
94931816,002
96289722,318
91501067,353
97751316,492
93136859,252
98806455,003
99630173,386
99617800,087
91931057,152
93416878,294
97787802,039
91112936,183
91920495,244
92120648,293
95311191,091
91528514,481
94005113,289
94273331,309
97678428,156
94407136,010
92575367,385
99578218,010
99002801,191
96414377,209
91431554,134
96403040,169
94498468,261
92525774,202
96287649,234
98789539,180
94111719,482
92257930,100
92793067,322
97582440,139
95445094,069
94033696,312
96753471,176
95032720,258
98757382,418
91754928,004
95095885,054
97276305,118
91938712,251
91043146,041
91940574,380
95635100,406
94444915,355
98764995,200
97931351,379
97999359,323
91748635,342
98726986,430
95645913,226
99940186,190
91803972,102
92516034,228
99366488,358
99997621,027
91471278,227
91875303,038
94781551,266
99367953,010
91517154,298
93704207,352
93985828,436
96903720,279
91614453,096
95058411,325
96727251,182
97947368,188
95844933,209
94171545,075
99347876,090
93066201,067
95713254,261
97175891,160
94092067,305
95109625,079
98215395,122
96697113,389
92800644,236
97693650,473
92310245,122
98598375,406
92840462,053
94859583,157
92594655,384
93277201,420
94022165,406
97145297,072
98019598,330
95783328,308
99712077,213
96567394,229
96734488,374
99461483,304
95147757,498
93802729,195
94180390,460
94925531,063
92747516,255
98186890,194
97514784,306
99827651,170
91411749,137
96456735,440
92069129,222
99448348,390
92670394,187
97950557,310
97007660,330
97342391,164
94742180,399
95825146,157
95029310,208
96689338,191
94167416,281
91501864,306
92047831,352
97220533,79
94294871,416
97644091,104
99908649,290
94383910,210
96509403,159
97272144,003
93836514,307
95213211,181
93279752,100
91965046,096
99910528,255
94420350,393
97013144,297
93387838,140
93116042,087
96873491,452
91523055,364
95861807,360
92344657,240
92597049,449
97029213,183
91364494,264
95394227,218
91771686,073
95157594,092
94529686,479
93968851,208
99734319,422
93940424,335
97647424,145
98678882,332
91978109,414
92816180,125
95663996,372
94040920,010
99152473,445
97629589,204
91181941,381
93477818,382
92063072,061
95631627,117
99460049,115
94318678,313
96671822,500
96011809,441
93588471,238
95335561,204
98073528,184
98613158,468
99059936,136
93277123,475
98192605,278
94719538,300
99050323,397
93322789,346
94433683,162
93359947,063
99050328,062
93449785,409
96719225,469
94213032,442
99276925,276
98428619,233
97983802,032
93689928,372
97430311,498
97561047,282
91943234,271
95233016,057
94491931,344
99680078,116
98094591,130
94315929,215
99724480,409
98149969,330
96716193,462
93443551,323
95671903,380
95866229,420
93867610,125
97152014,108
93159395,298
96389664,085
97008700,122
96293403,489
98276136,500
96904424,374
96612243,357
97461620,081
91417048,280
98815211,107
96592526,102
38186456,483
37224019,246
37128977,364
38375650,072
33514163,177
38545234,204
33798965,358
38917017,331
35338462,173
39084744,141
36309581,279
37907826,102
36464393,418
36024770,069
36176319,288
37483612,267
37122786,481
39737166,374
31022934,470
